Party,Sentence
D,"Judge Schroeder, former governors, President Bennett, Speaker Flake, Senator Brown, Representative Loredo, honored guests, and my fellow Arizonans:

On this perfect Arizona day, in the company of my family, and surrounded by old friends and new colleagues, it is the greatest honor of my life to stand here as your twenty-first Governor."
D,"I would like to take a moment to thank our twentieth Governor, Jane Dee Hull, for devoting a quarter century of her life to public service."
D,"Governor Hull, throughout the transition we just completed, you could not have been more gracious and helpful."
D,Thank you.
D,"Today, a restless state looks on and wonders what will happen next."
D,"Weary of bad news and wary of more disappointment, citizens watch as we exchange one governor for another, one political party for another."
D,"With a mixture of hope and skepticism, Arizonans look on and ask: Will anything really change?"
D,"My friends, I say to you today we are already changing."
D,"The change we bring is exciting because in our quest to fix what is wrong with Arizona, we are re-discovering everything that is right with Arizona."
D,Our strength lies in our diversity and it lies in our heritage.
D,And we must draw on both of these gifts in the days ahead.
D,"Our diversity gives us a rich mix of cultures, faiths and traditions from across Arizonas communities and around the world."
D,Our heritage gives us its strength of character and its stubborn optimism.
D,"After all, we have built our modern cities and towns on the foundations first laid by the Hohokam, the Anasazi and the Mogollon peoples."
D,Our past thrives in our modern-day values of rugged independence and a can-do spirit.
D,Our diversity and our heritage define the vital Arizona I saw throughout my journey to this stage.
D,I saw it in the eyes of young Navajo children learning to use the Internet.
D,"I witnessed the determination of Spanish-speaking parents, learning English alongside their children in Yuma."
D,I saw it in the marvelous and artistic mosaics created by previously unemployed young adults at Las Artes in South Tucson.
D,"I have felt it among the growing ranks of entrepreneurs in our state, eager and willing to build a new economy."
D,And as the nation watched the seventh game of the World Series last year and the Fiesta Bowl last Friday it saw the simple essence of Arizona: this is a great place to live.
D,But I also saw another side of Arizona that we simply cannot wish away.
D,"I saw it through the eyes of the Sikh community after the murder of Balbir Singh Sodhi, the victim of a hate crime."
D,I saw it through the eyes of parents going to a food bank to get food for their children.
D,I still see it through the eyes of a homeless World War II veteran I pass each morning on my way to the Capitol.
D,"I see both sides of Arizona, and my goal is simple: We must ensure that prosperity wins over desperation and becomes the norm for all Arizonans."
D,"To do this, we must come back together as one, united in the knowledge that we need each other, and bound by our commitment to each other."
D,"My friends, we are all in this together."
D,We must lift this state out of its budget crisis without sacrificing education and the long-term future of Arizona.
D,"To accomplish this, we must change the political culture at this Capitol."
D,"With this inaugural, I declare an end to government where winners take all to the exclusion of everyone else."
D,"There is no room for this brand of politics in the new Arizona, and it will not be practiced in my office."
D,"As a testament to my firm belief that we need a new culture of cooperation, I have appointed a bipartisan administration."
D,"My team members reflect the diversity of our culture, and they represent the best thinking of all Arizonans."
D,"Next week a new Legislature will convene, and I will submit my plan to revitalize Arizona and balance our budget."
D,"Put simply, there are no painless solutions to our problems."
D,"To emerge from this quagmire, we need patience, discipline and a long-term vision of a new Arizona."
D,We are in the deepest financial crisis of our history.
D,"Our constitution, requires a balanced budget."
D,"But again must not balance our budget on the backs of children, as we have done too often."
D,I make this pledge: We will not mortgage our future to make up for the mistakes of the past.
D,"We must sacrifice short-term rewards and agendas, and keep our eyes on a larger prize a new Arizona where hope and opportunity abound."
