Party,Sentence
R,"Honorable Governor Castro, Governor Mofford, Governor Symington, Governor Hull."
R,"Mr. Speaker and Mr. President, Madame Chief Justice and associate justices, Incoming Secretary Bennett, General Goddard, Superintendent Horne, Treasurer Martin, Mine Inspector Hart, Commissioner Pierce, Commissioner Stump, and Commissioner Kennedy, members of the Legislature, and honored guests ."
R,.
R,.
R,I’m grateful for your presence and your lasting support over so many years.
R,"Among your faces I see not only the colleagues of countless political seasons, but the friendships of a lifetime."
R,Let me also thank Pastor Spicer for your uplifting words and for being a constant source of inspiration for me and my family.
R,"And of course, let me thank my wonderful supportive family... oDr."
R,"John Brewer – a true pillar of strength – he continues to stand side-by-side with me as we walk 
2down life’s path together."
R,"My children, John (may god bless his soul), Ron, and Michael – your love and constant support help sustain me through everything we confront in life."
R,"oAnd to my brother...and rest of my family,...it means a great deal to me that you traveled here for this event, thank you for being here as well."
R,"I also must extend a sincere thanks to Secretary Napolitano  --  see, we’ve traded titles  --  for her service to the state; and offer prayers and good will in her vitally important position with our new president."
R,One reason life is such a delightful adventure is that we never know exactly what it will bring.
R,No one ever knew it would bring me here.
R,But one thing is certain: there’s no place I would rather be.
R,Of course this turn of events has not been cause for universal celebration.
R,In some quarters this inauguration feels a good deal more like an interruption.
R,"And in a few ways  --  good ways, we can hope  --   it will be."
R,"But I pledge today to be a governor for all of Arizona, and to lead our state to better times."
R,"Together, we will do what we have to do, without pettiness or melodrama or misplaced regard to party, and we will succeed."
R,At a government’s new hour we normally find ourselves uplifted by possibility.
R,"But today, we find ourselves weighed down with obligation -- overdue obligation."
R,"We are gathered amid uncertain times, with a difficult work before us."
R,"In some ways this feels like you’ve just shown up for a party  --   but the guests have all gone, only the caterer is left and she immediately hands you the bill."
R,But let’s be clear about one thing.
R,Authentic public service --   rendered so faithfully by so many here today -- does not return barren.
R,"Even in hard times, we must do good work, in honest trust with those we serve, and the people will thank us for it."
R,"3For decades, the abundance generated by free, hard-working Americans has allowed government to remain in the habit of growing, and in recent years to grow even more rapidly."
R,"But today, neither prudence nor our Constitution will allow this to continue in our state."
R,We have all been seated to preside over that rarest of political happenings: our government is going to get smaller.
R,"We know this, and so do the people we serve."
R,Here is the situation.
R,"Essentially, for this and the next fiscal year, the people who do the work, provide the tax dollars and count on our performance were told we would have about $21 billion dollars to spend on their government."
R,"In reality, we aren’t going to have that at all."
R,We are going to be a little short -- somewhere on the order of $4 billion short.
R,"That’s a lot of money, but there will be no time for gloom or further denial."
R,We know the necessary reductions in state spending will not occur without impact to people’s lives and livelihoods.
R,"Our task is to minimize that impact as much as we can, even as we keep our state moving toward a brighter future."
R,"I’m a gardener at heart, and over the years I’ve noticed a few things that gardening and governing share in common."
R,"To grow beautiful things, you must have good seeds and provide water and sunshine; and then you have to control the weeds, spray the pests and run off the rabbits."
R,"Having served there, doesn’t that sound a bit like the legislature to you?"
R,But every gardener also knows that some pruning from time to time leads to greater fruit.
R,Building a budget is a zero-sum game.
R,"We must make an honest accounting of the expected revenues, set priorities for expenditures and retain a prudent ending balance and cash reserve."
R,4But building an economy that supports that spending is absolutely not a zero-sum game.
R,"Even while we focus on the process of two budgets, we must act with bold determination to put Arizona’s economy back on its feet, increase opportunity, and secure the futures of our people."
R,"My fellow Arizonans, it is important to remember that we cannot budget our way to prosperity, and still less, we will not attain prosperity by taxing our way there either."
R,"Our first calling at this capitol is to generate capital --  to call forth the creativity, determination and entrepreneurial spirit that made these United States the most prosperous great power in the history of the world."
R,"I’m therefore pleased to report that the legislative leadership, my transition team and I are not sitting idle while the new government in Washington plans another trillion dollars in deficit spending."
R,"No, we are planning a massive stimulus package of our own, to make Arizona the most economically vibrant place in the world."
R,"And just like the clever folks in Washington, we have a catchy name for it: It’s called “freedom.”Yes, we must keep our tax and regulatory burdens low, something I have stood for throughout my 26 years in public life."
R,We must make sure that beleaguered businesses in California and other such overtaxed places hear the music of our commerce and our culture and see brighter prospects in the cities and towns across Arizona.
R,But that is not nearly enough.
R,"In every way we can, we must make our people free."
